Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Private_Open_AIR_Controller - ORCON\Project Outputs for Private_Open_AIR_Controller - ORCON\Pick Place for Open_AIR_Mini(Production).csv

========================================================================================================================
File Design Information:

Date:       31/10/25
Time:       21:17
Revision:   40ebe18bcff8b0bcfa9a33e060cb033bc4630cfa
Variant:    Production
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"L10","TopLayer","SMD-0805-IND","49,5000","5,0000","270"
"L9","TopLayer","SMD-0402-IND","82,5000","6,8000","270"
"L8","TopLayer","SMD-0402-IND","82,5000","8,8000","270"
"L7","TopLayer","SMD-0402-IND","82,6000","14,8000","270"
"L6","TopLayer","SMD-0402-IND","82,6000","16,8000","270"
"L5","TopLayer","SMD-0402-IND","67,2000","6,8000","270"
"L4","TopLayer","SMD-0402-IND","67,2000","8,9000","270"
"L3","TopLayer","SMD-0402-IND","67,2000","14,8000","270"
"L2","TopLayer","SMD-0402-IND","67,2000","16,8000","270"
"L1","TopLayer","WE-CMB_Type_S_L17.5W13H22","9,5000","43,7000","180"
"F2","TopLayer","696103201002","23,8000","24,2000","90"
"C3","TopLayer","WCAP-CSSA_2211_L5.7W2.8H2.5","13,4000","53,1000","180"
"C9","TopLayer","WCAP-FTX2_L13W7H12_CS","9,6000","33,1000","0"
"C10","TopLayer","WCAP-CSSA_2211_L5.7W2.8H2.5","5,6000","53,1000","180"
"RV1","TopLayer","B72214S301K101-Footprint-1","9,3500","23,2300","270"
"U1","TopLayer","IRM-05-12-Footprint-1","39,2000","45,3000","270"
"X8","TopLayer","1790937-Footprint-1","9,3450","60,9150","0"
"X7","TopLayer","1790937-Footprint-1","9,5000","13,7500","180"
"R18","TopLayer","SMD-2010-RES","9,3541","28,0000","90"
"R6","TopLayer","SMD-0402-RES","63,9500","64,7250","90"
"F1","TopLayer","1206_F","53,5001","4,9999","180"
"C12","TopLayer","SMD-0402-CAP","68,5000","46,9000","270"
"C8","TopLayer","SMD-1206-CAP","57,3749","6,3249","180"
"C6","TopLayer","SMD-1206-CAP","72,9999","6,2499","180"
"C5","TopLayer","SMD-1206-CAP","72,9999","20,3249","180"
"X1","TopLayer","JST-B5B-PH-SM4-TB_V","101,2750","3,5000","180"
"X5","TopLayer","FP-B8B-PH-SM4-TB_LF_SN-MFG","77,9500","11,8250","270"
"R22","TopLayer","SMD-0402-RES","73,1000","14,8000","270"
"R15","TopLayer","SMD-0402-RES","73,1000","16,8000","270"
"R13","TopLayer","SMD-0402-RES","57,7000","16,8000","270"
"R12","TopLayer","SMD-0402-RES","100,1500","24,5000","90"
"R8","TopLayer","SMD-0402-RES","74,0750","64,7250","90"
"R7","TopLayer","SMD-0402-RES","69,0250","64,7250","90"
"U3","TopLayer","FP-ESP32-WROOM-32E_4MB-MFG","98,4550","37,0000","270"
"C15","TopLayer","SMD-0402-CAP","68,5000","41,5000","270"
"C4","TopLayer","SMD-0402-CAP","100,1500","25,3000","90"
"R5","TopLayer","SMD-0402-RES","72,0500","41,2000","0"
"R14","TopLayer","SMD-0402-RES","57,7000","14,8000","270"
"X6","TopLayer","1790539-Footprint-1","68,4600","60,9318","0"
"X2","TopLayer","M20-8770342-Footprint-1","101,6500","12,3750","0"
"X4","TopLayer","FP-B8B-PH-SM4-TB_LF_SN-MFG","62,4750","11,8250","270"
"X3","TopLayer","FP-B4B-PH-SM4-TB-MFG","38,2500","3,7500","180"
"U4","TopLayer","SOT23-5","68,0000","44,0000","180"
"U2","TopLayer","SOT23-5","63,0000","44,0000","180"
"T1","TopLayer","SOT23-3","73,0000","44,0000","0"
"S2","TopLayer","PTS526_G_GND","94,0000","21,0000","0"
"S1","TopLayer","PTS526_G_GND","102,0000","21,0000","0"
"R16","TopLayer","SMD-0402-RES","67,0000","35,5000","180"
"R21","TopLayer","SMD-0402-RES","66,0000","35,5000","180"
"R3","TopLayer","SMD-0402-RES","72,0050","39,5440","0"
"R17","TopLayer","SMD-0402-RES","61,5000","35,5000","180"
"R20","TopLayer","SMD-0402-RES","72,0000","35,5000","180"
"R19","TopLayer","SMD-0402-RES","63,5000","47,9000","90"
"R2","TopLayer","SMD-0402-RES","72,4000","48,4000","270"
"R9","TopLayer","SMD-0402-RES","76,5000","35,5000","180"
"R1","TopLayer","SMD-0402-RES","97,0000","47,8000","0"
"R11","TopLayer","SMD-0402-RES","91,2000","24,5000","90"
"R10","TopLayer","SMD-0402-RES","98,5000","24,5000","270"
"R4","TopLayer","SMD-0402-RES","92,0000","48,0000","180"
"D6","TopLayer","SMD-0603-LED","65,9149","33,1845","90"
"D5","TopLayer","SMD-0603-LED","72,0420","33,1845","90"
"D4","TopLayer","SMD-0603-LED","61,5420","33,1845","90"
"D3","TopLayer","SMD-0603-LED","67,1689","33,1845","90"
"D2","TopLayer","SMD-0603-LED","76,5420","33,1845","90"
"D1","TopLayer","SMD-0603-LED","97,0001","50,0000","270"
"C14","TopLayer","SMD-0402-CAP","63,5000","46,9000","270"
"C13","TopLayer","SMD-0402-CAP","63,5000","41,5000","270"
"C7","TopLayer","SMD-1206-CAP","57,3749","20,2499","180"
"C1","TopLayer","SMD-1206-CAP","104,5001","47,7999","270"
"C2","TopLayer","SMD-1206-CAP","104,5001","49,6999","270"
