Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Open_AIR_Sense_PRO\Project Outputs for Open_AIR_Sense_PRO\Pick Place for PCB2..csv

========================================================================================================================
File Design Information:

Date:       31/10/25
Time:       20:36
Revision:   9e0f50d4fe85f2e3829eca06ebcb00c8c3a7c86b
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"MD1","TopLayer","FP-ESP32-WROOM-32E_4MB-MFG","16.2950","32.4000","90"
"U1","TopLayer","AP22653FDZ-7-Footprint-1","33.8000","14.1000","90"
"X4","TopLayer","USB4105-GF-A-Footprint-1","34.0000","4.0000","0"
"D1","TopLayer","DFN2510D","28.9000","21.7000","0"
"D2","TopLayer","DO-214AC","34.7000","9.3000","0"
"D4","TopLayer","SOD-923","5.5998","10.5000","270"
"D3","TopLayer","SOD-923","6.4000","10.5000","270"
"D6","TopLayer","SOD-923","5.6000","18.5000","90"
"D5","TopLayer","SOD-923","6.4000","18.5000","90"
"SP2","TopLayer","SMTWE2010MTJ","42.0000","3.0000","0"
"SP1","TopLayer","SMTWE2010MTJ","3.0000","3.0000","0"
"U7","TopLayer","WS2812B-2020-Footprint-1","11.0000","44.5000","180"
"U8","TopLayer","WS2812B-2020-Footprint-1","34.2000","44.7000","0"
"U9","TopLayer","WS2812B-2020-Footprint-1","42.3000","44.8000","0"
"U6","TopLayer","WS2812B-2020-Footprint-1","2.7500","44.5000","180"
"R2","TopLayer","SMD-0402-RES","36.5000","42.3000","270"
"R1","TopLayer","SMD-0402-RES","36.9000","34.5000","180"
"R28","TopLayer","SMD-0402-RES","36.7000","23.0000","180"
"R26","TopLayer","SMD-0402-RES","38.1000","23.0000","180"
"R10","TopLayer","SMD-0402-RES","30.1000","10.0000","0"
"R9","TopLayer","SMD-0402-RES","30.8500","10.0000","0"
"R16","TopLayer","SMD-0402-RES","32.0000","24.5000","45"
"R14","TopLayer","SMD-0402-RES","30.2000","26.3000","45"
"R15","TopLayer","SMD-0402-RES","28.4000","27.0000","225"
"R17","TopLayer","SMD-0402-RES","30.1000","25.2000","225"
"R5","TopLayer","SMD-0402-RES","11.8000","8.9000","90"
"R21","TopLayer","SMD-0402-RES","30.6000","15.7000","270"
"R20","TopLayer","SMD-0402-RES","30.6000","14.9000","270"
"R8","TopLayer","SMD-0402-RES","36.7500","13.5000","270"
"R19","TopLayer","SMD-0402-RES","32.9000","32.6000","180"
"R4","TopLayer","SMD-0402-RES","32.8000","15.6000","90"
"R13","TopLayer","SMD-0402-RES","39.8000","9.4000","270"
"R25","TopLayer","SMD-0402-RES","29.4000","39.5000","180"
"R24","TopLayer","SMD-0402-RES","33.4000","39.5000","180"
"R23","TopLayer","SMD-0402-RES","32.6000","39.5000","180"
"R22","TopLayer","SMD-0402-RES","30.2000","39.5000","180"
"R3","TopLayer","SMD-0402-RES","34.8000","15.6000","90"
"R11","TopLayer","SMD-0402-RES","8.4000","44.4000","0"
"R6","TopLayer","SMD-0402-RES","10.4000","21.4000","270"
"R12","TopLayer","SMD-0402-RES","5.8000","44.5000","180"
"R7","TopLayer","SMD-0402-RES","10.4016","16.0000","270"
"R27","TopLayer","SMD-0402-RES","31.0000","39.5000","0"
"R18","TopLayer","SMD-0402-RES","26.0000","24.2000","180"
"T1","TopLayer","DFN1006-3/SOT883","7.1000","44.4000","180"
"X6","TopLayer","B5B-ZR-SM4-TF","36.5000","19.0000","180"
"U2","TopLayer","SOT23-5","9.0000","8.0000","90"
"U4","TopLayer","SOT23-5","40.4000","11.3000","270"
"U3","TopLayer","SOT23-5","40.4000","14.4000","270"
"X2","TopLayer","687316124422","22.5000","44.6000","180"
"FB1","TopLayer","SMD-0805-IND","28.2000","31.1000","180"
"U5","TopLayer","FP-24-S4QFN-4x4B-0_5P-MFG","31.5953","35.8453","180"
"X1","TopLayer","SM04B-SRSS-TB(LF)(SN)-Footprint-1","9.5000","2.3650","180"
"X3","TopLayer","FP-B8B-PH-SM4-TB_LF_SN-MFG","41.3750","32.0000","270"
"C20","TopLayer","SMD-0402-CAP","30.8000","26.9000","45"
"C23","TopLayer","SMD-0402-CAP","29.5000","24.6000","225"
"C21","TopLayer","SMD-0402-CAP","27.8000","26.4000","225"
"C22","TopLayer","SMD-0402-CAP","31.4000","23.9000","45"
"C19","TopLayer","SMD-0402-CAP","12.9000","44.5000","0"
"C24","TopLayer","SMD-0402-CAP","32.0000","44.7000","180"
"C26","TopLayer","SMD-0402-CAP","40.4000","44.8000","180"
"C4","TopLayer","SMD-0402-CAP","11.3000","7.5000","180"
"C3","TopLayer","SMD-0402-CAP","12.1000","7.5000","180"
"C18","TopLayer","SMD-0402-CAP","4.7000","44.5000","0"
"C15","TopLayer","SMD-0402-CAP","36.7500","11.2500","90"
