Designator Comment                  Layer    Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                            
R18        CRCW040210K0FKED         TopLayer SMD-0402-RES                   92,8000      18,3250      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
R17        CRCW040210K0FKED         TopLayer SMD-0402-RES                   101,4000     18,3250      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
D6         150040GS73240            TopLayer SMD-0402-LED-0.4H              92,8000      16,3000      90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
D5         150040GS73240            TopLayer SMD-0402-LED-0.4H              101,4000     16,3000      90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
F1         1206L050/24WR            TopLayer 1206_F                         30,8001      9,4001       270      "Resettable fuse 0.5A/24V"                                                                                                             
R16        ERJ-2RKF1001X            TopLayer SMD-0402-RES                   86,4750      18,3250      180      "RES SMT 1kO 1% 100mW 100ppm/°C 0402"                                                                                                  
D4         150040GS73240            TopLayer SMD-0402-LED-0.4H              86,4750      16,3250      90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
C20        GRM155R60J475ME47D       TopLayer SMD-0402-CAP                   100,5000     7,0000       90       "CAP CER SMT 4.7uF 20% 6.3V X5R 0402"                                                                                                  
C19        GRM155C71A105KE11D       TopLayer SMD-0402-CAP                   98,5000      11,0000      270      "CAP CER 1uF 10% 10V X7S 0402"                                                                                                         
C18        CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   107,9001     13,5001      0        "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
C17        CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   110,0001     13,5001      0        "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
C9         GRM155R60J475ME47D       TopLayer SMD-0402-CAP                   94,7500      7,0000       90       "CAP CER SMT 4.7uF 20% 6.3V X5R 0402"                                                                                                  
C8         GRM155C71A105KE11D       TopLayer SMD-0402-CAP                   92,7500      11,0000      270      "CAP CER 1uF 10% 10V X7S 0402"                                                                                                         
R15        ERJ-2RKF1001X            TopLayer SMD-0402-RES                   91,4750      18,3250      180      "RES SMT 1kO 1% 100mW 100ppm/°C 0402"                                                                                                  
D2         150040GS73240            TopLayer SMD-0402-LED-0.4H              96,3750      16,3250      90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
R13        ERJ-2RKF1001X            TopLayer SMD-0402-RES                   96,3750      18,3250      180      "RES SMT 1kO 1% 100mW 100ppm/°C 0402"                                                                                                  
C6         C0402C104K3RACTU         TopLayer SMD-0402-CAP                   29,3000      6,4000       270      "CAP CER 100nF 10% 25V X7R 0402"                                                                                                       
C7         CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   32,1999      6,4001       90       "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
D3         150040GS73240            TopLayer SMD-0402-LED-0.4H              91,4750      16,3250      90       "LED SMT Green Chip Waterclear 3.2V 20mA 0402"                                                                                         
R12        CRCW040210K0FKED         TopLayer SMD-0402-RES                   91,2500      11,5000      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
U2         AP2112K-3.3TRG1          TopLayer SOT23-5                        92,2500      8,5000       180      "IC REG LDO 3.3V 0.6A SOT25"                                                                                                           
R14        CRCW040210K0FKED         TopLayer SMD-0402-RES                   97,0000      11,5000      180      "RES SMD 10kO 1% 62.5mW 100PPM 0402"                                                                                                   
U4         AP2112K-3.3TRG1          TopLayer SOT23-5                        98,0000      8,5000       180      "IC REG LDO 3.3V 0.6A SOT25"                                                                                                           
C16        CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   110,0001     28,0001      0        "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
C15        CL31B226MPHNNNE          TopLayer SMD-1206-CAP                   108,0001     28,0001      0        "CAP CER 22uF 20% 10V X7R 1206"                                                                                                        
