Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Open_AIR_Valve\Project Outputs for Open_AIR_Valve\Pick Place for Open_AIR_VALVE.csv

========================================================================================================================
File Design Information:

Date:       01/11/25
Time:       11:36
Revision:   5b8930687a43749cb1565c73ddf8a6e710455f34
Variant:    No variations
Units used: mm

"Designator","Comment","Center-X(mm)","Center-Y(mm)","Rotation"
"D4","150040GS73240","86,4750","16,3250","90"
"R10","CRCW040210K0FKED","83,7180","8,6990","180"
"R11","ERJ-2RKF1001X","86,4750","18,3000","180"
"R16","CRCW040210K0FKED","82,7250","8,6750","0"
"X5","B3B-XH-A(LF)(SN)","85,9250","3,9500","0"
"X6","BM04B-SRSS-TB(LF)(SN)","44,3580","3,7985","180"
"X8","BM04B-SRSS-TB(LF)(SN)","37,0750","3,7985","180"
"R18","CRCW040210K0FKED","92,8000","18,3250","180"
"R17","CRCW040210K0FKED","101,4000","18,3250","180"
"D6","150040GS73240","92,8000","16,3000","90"
"D5","150040GS73240","101,4000","16,3000","90"
"F1","1206L050/24WR","30,8001","9,4001","270"
"C20","GRM155R60J475ME47D","100,5000","7,0000","90"
"C19","GRM155C71A105KE11D","98,5000","11,0000","270"
"C18","CL31B226MPHNNNE","107,9001","13,5001","0"
"C17","CL31B226MPHNNNE","110,0001","13,5001","0"
"C9","GRM155R60J475ME47D","94,7500","7,0000","90"
"C8","GRM155C71A105KE11D","92,7500","11,0000","270"
"R15","ERJ-2RKF1001X","91,4750","18,3250","180"
"D2","150040GS73240","96,3750","16,3250","90"
"R13","ERJ-2RKF1001X","96,3750","18,3250","180"
"C6","C0402C104K3RACTU","29,3000","6,4000","270"
"C7","CL31B226MPHNNNE","32,1999","6,4001","90"
"D3","150040GS73240","91,4750","16,3250","90"
"R12","CRCW040210K0FKED","91,2500","11,5000","180"
"U2","AP2112K-3.3TRG1","92,2500","8,5000","180"
"R14","CRCW040210K0FKED","97,0000","11,5000","180"
"U4","AP2112K-3.3TRG1","98,0000","8,5000","180"
"C16","CL31B226MPHNNNE","110,0001","28,0001","0"
"C15","CL31B226MPHNNNE","108,0001","28,0001","0"
"C14","CL31B226MPHNNNE","106,0001","28,0001","0"
"C13","CL31B226MPHNNNE","104,0001","28,0001","0"
"X1","B5B-PH-K-S(LF)(SN)","31,7500","20,0790","90"
"X2","61300311121","36,1950","22,0690","90"
"C12","C0402C104K3RACTU","97,7500","28,7500","0"
"FID1","Fiducial","4,6000","10,4000","0"
"FID2","Fiducial","4,6000","31,9000","0"
"FID4","Fiducial","113,7000","13,2000","0"
"FID3","Fiducial","113,7000","29,2000","0"
"C11","CL31B226MPHNNNE","7,6251","8,2250","315"
"R8","CRCW04020000Z0EDC","45,8750","8,3750","0"
"R9","CRCW04020000Z0EDC","44,8750","8,3875","0"
"R4","ERJ-2RKF2201X","45,8750","9,9750","180"
"R5","ERJ-2RKF2201X","44,8750","9,9875","180"
"R7","CRCW04020000Z0EDC","36,5750","7,2250","180"
"R6","CRCW04020000Z0EDC","43,8750","6,7500","180"
"X7","B5B-XH-AM(LF)(SN)","92,1150","35,6870","180"
"U3","ULQ2003D1013TR","92,2250","27,5000","90"
"R3","CRCW040210K0FKED","12,0000","32,0000","180"
"R2","CRCW040210K0FKED","13,0810","32,0040","180"
"R1","ERJ-2RKF1001X","18,4250","10,5750","180"
"D1","150040GS73240","18,4000","8,7000","90"
"C5","CL31B226MPHNNNE","15,7499","8,4999","180"
"C4","C0402C104K3RACTU","16,0000","5,8000","270"
"C3","GRM155C71A105KE11D","14,2240","32,0040","180"
"C10","CL31B226MPHNNNE","102,0001","28,0001","0"
"X4","B5B-PH-K-S(LF)(SN)","113,1570","20,9550","90"
"X3","B8B-PH-K-S(LF)(SN)","23,7970","3,5560","0"
"U1","ESP32-WROOM-32E","17,0450","21,0820","90"
"S2","PTS526 SMG15 SMTR2 LFS","26,8000","34,8000","180"
"S1","PTS526 SMG15 SMTR2 LFS","19,0000","34,8000","180"
"C2","C0402C104K3RACTU","8,8000","10,9000","270"
"C1","CL31B226MPHNNNE","12,1999","10,1001","90"
